(0, 0)
(1, 0)
(2, 0)
(3, 0)
(2, 1)
(2, -1)
(1, 1)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(3, 3)
(3, 1)
(4, 1)
(5, 1)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(6, 1)
(7, 1)
(6, 2)
(7, 2)
(6, 3)
(5, 2)
(5, 3)
(5, 4)
(4, 3)
(4, 4)
(4, 5)
(3, 4)
(3, 5)
(3, 6)
(4, 6)
(5, 6)
(6, 6)
(5, 7)
(5, 5)
(6, 5)
(7, 5)
(6, 4)
(7, 4)
(4, 7)
(3, 7)
(2, 6)
(2, 5)
(1, 5)
(2, 4)
(6, -1)
(5, -1)
(4, -1)
(2, 3)
(1, 3)
(1, 4)
(0, 4)
(0, 5)
(0, 6)
(-1, 5)
(-1, 4)
(0, 3)
(-1, 3)
(0, 2)
(-1, 2)
(0, 1)
(-1, 1)
(1, -1)
(-1, 0)
(0, -1)
(0, 0)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(2, 1)
(2, -1)
(1, 1)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(3, 3)
(3, 1)
(4, 1)
(5, 1)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(6, 1)
(7, 1)
(6, 2)
(7, 2)
(6, 3)
(5, 2)
(5, 3)
(5, 4)
(4, 3)
(4, 4)
(4, 5)
(3, 4)
(3, 5)
(3, 6)
(4, 6)
(5, 6)
(6, 6)
(5, 7)
(5, 5)
(6, 5)
(7, 5)
(6, 4)
(7, 4)
(4, 7)
(3, 7)
(2, 6)
(2, 5)
(1, 5)
(2, 4)
(6, -1)
(5, -1)
(4, -1)
(2, 3)
(1, 3)
(1, 4)
(0, 4)
(0, 5)
(0, 6)
(-1, 5)
(-1, 4)
(0, 3)
(-1, 3)
(0, 2)
(-1, 2)
(0, 1)
(-1, 1)
(1, -1)
(-1, 0)
(0, -1)
(0, 0)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(2, 1)
(2, -1)
(1, 1)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(3, 3)
(3, 1)
(4, 1)
(5, 1)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(6, 1)
(7, 1)
(6, 2)
(7, 2)
(6, 3)
(5, 2)
(5, 3)
(5, 4)
(4, 3)
(4, 4)
(4, 5)
(3, 4)
(3, 5)
(3, 6)
(4, 6)
(5, 6)
(6, 6)
(5, 7)
(5, 5)
(6, 5)
(7, 5)
(6, 4)
(7, 4)
(4, 7)
(3, 7)
(2, 6)
(2, 5)
(1, 5)
(2, 4)
(6, -1)
(5, -1)
(4, -1)
(2, 3)
(1, 3)
(1, 4)
(0, 4)
(0, 5)
(0, 6)
(-1, 5)
(-1, 4)
(0, 3)
(-1, 3)
(0, 2)
(-1, 2)
(0, 1)
(-1, 1)
(1, -1)
(-1, 0)
(0, -1)
(0, 0)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(6, 1)
(7, 1)
(6, 2)
(7, 2)
(8, 2)
(9, 2)
(10, 2)
(11, 2)
(10, 3)
(10, 1)
(11, 1)
(9, 1)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(14, 1)
(15, 1)
(14, 2)
(15, 2)
(14, 3)
(13, 2)
(13, 3)
(12, 2)
(12, 3)
(12, 4)
(13, 4)
(12, 5)
(13, 5)
(12, 6)
(13, 6)
(12, 7)
(11, 6)
(11, 7)
(10, 6)
(10, 7)
(10, 8)
(11, 8)
(10, 9)
(11, 9)
(10, 10)
(11, 10)
(12, 10)
(13, 10)
(12, 11)
(12, 9)
(13, 9)
(12, 8)
(13, 8)
(14, 8)
(15, 8)
(14, 9)
(15, 9)
(14, 10)
(15, 10)
(16, 10)
(17, 10)
(16, 11)
(17, 11)
(16, 12)
(17, 12)
(18, 12)
(19, 12)
(20, 12)
(21, 12)
(20, 13)
(21, 13)
(20, 14)
(21, 14)
(22, 14)
(23, 14)
(22, 15)
(23, 15)
(22, 16)
(23, 16)
(22, 17)
(23, 17)
(22, 18)
(23, 18)
(22, 19)
(21, 18)
(21, 19)
(20, 18)
(20, 19)
(19, 18)
